Feature,Pearson,Spearman,Abs_Spearman
Engine_Vibration_mm_s,-0.5619908475344483,-0.5334183602194008,0.5334183602194008
Battery_Voltage_V,0.5011306158673241,0.4759220887630666,0.4759220887630666
RF_Abnormal_Probability,-0.400009170423973,-0.4393095799008344,0.4393095799008344
Brake_Pad_Wear_pct,-0.4579808545095496,-0.43384952191169784,0.43384952191169784
Oil_Pressure_bar,0.4347085257291145,0.41430390359022734,0.41430390359022734
Fuel_Level_pct,0.43195422461513827,0.40899198124351643,0.40899198124351643
Odometer_km,-0.4086854074284309,-0.39091520707749816,0.39091520707749816
Oil_Temp_C,-0.4082986743042646,-0.3892986569703291,0.3892986569703291
Transmission_Oil_Temp_C,-0.40274064888916705,-0.3845546444816692,0.3845546444816692
RF_Abnormal_Prediction,-0.3876096203361515,-0.38033882926561735,0.38033882926561735
Coolant_Temp_C,-0.31610494550296014,-0.299365677741151,0.299365677741151
Timestamp_Month,-0.1939294794094289,-0.17319715557264412,0.17319715557264412
Tire_Pressure_psi,0.1461106863921624,0.13584294476009856,0.13584294476009856
Turbo_Boost_kPa,-0.11975408606322696,-0.11975100306781501,0.11975100306781501
Exhaust_Gas_Temp_C,-0.11013655822651507,-0.11232830168775627,0.11232830168775627
Intake_Air_Temp_C,-0.09509271167735772,-0.08951598727725224,0.08951598727725224
Engine_Load_pct,-0.017469415737066965,-0.026511664783924742,0.026511664783924742
Throttle_Position_pct,-0.014746600806854818,-0.023515771419222873,0.023515771419222873
Engine_RPM,0.030860535623545474,0.022216075890820045,0.022216075890820045
Ambient_Temp_C,-0.021993033726109692,-0.02093319364555035,0.02093319364555035
Speed_kmph,0.023124215772353466,0.019599799430573262,0.019599799430573262
Timestamp_Hour,0.015342998462475256,0.014729358780341045,0.014729358780341045
Timestamp_DayOfWeek,-0.012526889069982193,-0.014353843969380976,0.014353843969380976
Operating_Terrain_hilly,-0.013264070821133685,-0.013304441181231275,0.013304441181231275
Operating_Terrain_sand,0.0122213555836835,0.01193556624216464,0.01193556624216464
Operating_Terrain_rough,-0.005659143238843781,-0.005400946660493478,0.005400946660493478
Operating_Terrain_mud,0.003846938051779715,0.003690729320242392,0.003690729320242392
Operating_Terrain_road,0.0026246015559324067,0.0027627645428597394,0.0027627645428597394
