Candidate,Train_MAE_hours,Validation_MAE_hours,Validation_RMSE_hours,Validation_R2,Validation_P90_AE_hours,Validation_P95_AE_hours,Validation_Bias_hours,Train_Val_MAE_Gap,Epochs,Training_minutes,dropout,l2,lr,huber_delta
B1,93.43840789794922,255.399658203125,343.4556694465823,0.654611349105835,540.7991333007812,813.9306640625,-3.8094241619110107,161.96125030517578,11,0.38247203826904297,0.2,1e-05,0.00025,0.1
B5,68.75965118408203,260.3450622558594,340.86054929032196,0.6598111391067505,541.9927368164062,788.4805908203125,14.013087272644043,191.58541107177734,60,1.4247431993484496,0.25,0.0001,0.0001,0.1
B4,19.595901489257812,260.4755554199219,348.58686820862886,0.6442141532897949,569.2955322265625,771.9610595703125,46.75117874145508,240.87965393066406,52,1.241139797369639,0.25,0.0005,0.00025,0.1
B2,63.487525939941406,269.515869140625,347.1275769619867,0.6471867561340332,542.20068359375,681.1917114257812,-5.06003475189209,206.0283432006836,41,1.009065846602122,0.25,0.0001,0.00025,0.1
B3,50.404476165771484,274.2166748046875,347.8984114472212,0.6456180810928345,553.5344848632812,731.3292846679688,-15.818553924560547,223.81219863891602,60,1.421354599793752,0.3,0.0001,0.00025,0.1
