Sensor,Corr_RUL,Corr_Health,Abs_Corr_RUL,Abs_Corr_Health
Brake_Pad_Wear_pct,-0.4665799627385539,-0.9248378654735607,0.4665799627385539,0.9248378654735607
Fuel_Level_pct,0.44720628166608944,0.91364294030215,0.44720628166608944,0.91364294030215
Odometer_km,-0.45641924212118795,-0.8858580757648701,0.45641924212118795,0.8858580757648701
Engine_Vibration_mm_s,-0.48725213167828596,-0.7614900790294089,0.48725213167828596,0.7614900790294089
Battery_Voltage_V,0.4832552969717382,0.6955855816908268,0.4832552969717382,0.6955855816908268
Oil_Pressure_bar,0.35491393296672746,0.5764134397373808,0.35491393296672746,0.5764134397373808
Oil_Temp_C,-0.32364158410910226,-0.5448227810515478,0.32364158410910226,0.5448227810515478
Transmission_Oil_Temp_C,-0.3298877468923502,-0.5441115539859561,0.3298877468923502,0.5441115539859561
Coolant_Temp_C,-0.23861986789672984,-0.4118557786062592,0.23861986789672984,0.4118557786062592
Tire_Pressure_psi,0.22563713110046435,0.22293314626466681,0.22563713110046435,0.22293314626466681
Turbo_Boost_kPa,-0.03251528084682574,-0.15061127896431956,0.03251528084682574,0.15061127896431956
Exhaust_Gas_Temp_C,-0.01924146263076387,-0.13554146875515224,0.01924146263076387,0.13554146875515224
Intake_Air_Temp_C,-0.0550293135784134,-0.10147129646861039,0.0550293135784134,0.10147129646861039
Speed_kmph,-0.024209121115712474,0.04798807984594998,0.024209121115712474,0.04798807984594998
Timestamp_Month,0.07135314726151953,0.04187162214369487,0.07135314726151953,0.04187162214369487
Timestamp_Hour,-0.011536268483092048,-0.021707015335930592,0.011536268483092048,0.021707015335930592
Engine_RPM,-0.0446018020673438,0.020473249243043785,0.0446018020673438,0.020473249243043785
Engine_Load_pct,0.06687284937180914,-0.013813865932289175,0.06687284937180914,0.013813865932289175
Throttle_Position_pct,0.06403730042572736,-0.008376420370380663,0.06403730042572736,0.008376420370380663
Timestamp_DayOfWeek,-0.008181635969875513,0.0036144202531424884,0.008181635969875513,0.0036144202531424884
Ambient_Temp_C,0.0010192001043060203,0.0007268929471484315,0.0010192001043060203,0.0007268929471484315
