threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,mcc,specificity,tn,fp,fn,tp
0.65,0.7215,0.7129687499999999,0.9061526479750779,0.7271875,0.8068654646324549,0.7597220703124999,0.9133115107580226,0.3553831573650954,0.69875,559,241,873,2327
0.45,0.777,0.7106250000000001,0.8914518317503393,0.82125,0.8549121665582303,0.7597220703124999,0.9133115107580226,0.38272628250323587,0.6,480,320,572,2628
0.66,0.716,0.71,0.9056603773584906,0.72,0.8022284122562674,0.7597220703124999,0.9133115107580226,0.3491644598595733,0.7,560,240,896,2304
0.44,0.77875,0.70796875,0.8895994614607876,0.8259375,0.8565872630043753,0.7597220703124999,0.9133115107580226,0.38061775780466944,0.59,472,328,557,2643
0.67,0.711,0.7073437499999999,0.9052339413164155,0.7134375,0.7979727368053128,0.7597220703124999,0.9133115107580226,0.34366172765852526,0.70125,561,239,917,2283
0.43,0.78175,0.70609375,0.8879626542180727,0.8321875,0.8591708340054848,0.7597220703124999,0.9133115107580226,0.3806357085185886,0.58,464,336,537,2663
0.68,0.70725,0.7050000000000001,0.9046669325887515,0.70875,0.7948133870685123,0.7597220703124999,0.9133115107580226,0.33907577927279386,0.70125,561,239,932,2268
0.42,0.78425,0.704375,0.886536553092954,0.8375,0.861320906315282,0.7597220703124999,0.9133115107580226,0.3805497078575149,0.57125,457,343,520,2680
0.69,0.70275,0.703125,0.9046277665995975,0.7025,0.7908531222515391,0.7597220703124999,0.9133115107580226,0.3349992569070583,0.70375,563,237,952,2248
0.7,0.6995,0.70203125,0.9047811993517018,0.6978125,0.7879322512350035,0.7597220703124999,0.9133115107580226,0.3324807984916692,0.70625,565,235,967,2233
0.41,0.7855,0.701875,0.8849441157133465,0.84125,0.862544056392182,0.7597220703124999,0.9133115107580226,0.37841658192394895,0.5625,450,350,508,2692
0.4,0.78525,0.6975,0.8826413860738803,0.84375,0.8627576290142195,0.7597220703124999,0.9133115107580226,0.3725053615954472,0.55125,441,359,500,2700
0.39,0.787,0.69625,0.881664499349805,0.8475,0.864244741873805,0.7597220703124999,0.9133115107580226,0.3725036156877221,0.545,436,364,488,2712
0.38,0.78925,0.69578125,0.8810216618170061,0.8515625,0.8660416335610996,0.7597220703124999,0.9133115107580226,0.37404811613922784,0.54,432,368,475,2725
0.37,0.79125,0.69421875,0.8798586572438163,0.8559375,0.8677332488515761,0.7597220703124999,0.9133115107580226,0.3740156395643895,0.5325,426,374,461,2739
0.36,0.79125,0.69046875,0.8779162671780122,0.8584375,0.8680676252172539,0.7597220703124999,0.9133115107580226,0.3692001347632206,0.5225,418,382,453,2747
0.35,0.79175,0.68703125,0.8760724499523356,0.8615625,0.8687568930203245,0.7597220703124999,0.9133115107580226,0.36529293074659597,0.5125,410,390,443,2757
0.34,0.79525,0.68453125,0.8742533794404276,0.8690625,0.8716502115655853,0.7597220703124999,0.9133115107580226,0.3658441513814838,0.5,400,400,419,2781
0.33,0.79775,0.68234375,0.872778297474275,0.8746875,0.8737318557827376,0.7597220703124999,0.9133115107580226,0.36589357778672765,0.49,392,408,401,2799
0.32,0.79875,0.67640625,0.8697128743439333,0.8803125,0.8749805870476782,0.7597220703124999,0.9133115107580226,0.35955567176867004,0.4725,378,422,383,2817
0.31,0.80025,0.67125,0.8670131458269642,0.88625,0.8765260392520476,0.7597220703124999,0.9133115107580226,0.3548759125137939,0.45625,365,435,364,2836
0.3,0.8,0.665,0.8640776699029126,0.89,0.8768472906403941,0.7597220703124999,0.9133115107580226,0.34662029811879336,0.44,352,448,352,2848
