feature_name,importance
Engine_Vibration_mm_s,0.31017950886997175
Coolant_Temp_C,0.24008335524557464
Transmission_Oil_Temp_C,0.10148017286193561
Oil_Temp_C,0.06959690649525611
Oil_Pressure_bar,0.05921174926921948
Exhaust_Gas_Temp_C,0.03709310032445858
Fuel_Level_pct,0.032460673050850694
Brake_Pad_Wear_pct,0.03218845732631248
Odometer_km,0.022227997121634733
Engine_Load_pct,0.021928402211517463
Throttle_Position_pct,0.011787910006985177
Intake_Air_Temp_C,0.008858252929540504
Battery_Voltage_V,0.008843123141722605
Turbo_Boost_kPa,0.008520916163398607
Ambient_Temp_C,0.005513507002527134
Engine_RPM,0.005297696586628817
Operating_Terrain_road,0.0052125620818023145
Speed_kmph,0.005129568145997833
Timestamp_Hour,0.00505612055408478
Tire_Pressure_psi,0.004122657024101038
Timestamp_Month,0.00180514124607202
Timestamp_DayOfWeek,0.00133524879529458
Operating_Terrain_mud,0.0008085817433278902
Operating_Terrain_hilly,0.0006168548133570022
Operating_Terrain_rough,0.0003243743171724361
Operating_Terrain_sand,0.0003171626712557913
